champion,tier,avg_placement,win_rate,frequency,frequency_percent,popular_items
Ekko,D,5.14,3.0%,"103,706",1.6%,"Hand Of Justice, Bloodthirster, Titan's Resolve, Jeweled Gauntlet, Guinsoo's Rageblade"
LeBlanc,D,5.15,7.4%,"118,210",1.8%,"Jeweled Gauntlet, Blue Buff, Spear of Shojin, Archangel's Staff, Adaptive Helm"
Graves,D,5.19,11.5%,"243,331",3.7%,"Bloodthirster, Infinity Edge, Hand Of Justice, Thief's Gloves, Titan's Resolve"
Zoe,D,5.23,6.8%,"163,732",2.5%,"Jeweled Gauntlet, Spear of Shojin, Blue Buff, Guinsoo's Rageblade, Archangel's Staff"
Blitzcrank,D,5.24,2.6%,"101,964",1.6%,"Gargoyle Stoneplate, Warmog's Armor, Spirit Visage, Sunfire Cape, Bramble Vest"
Bard,D,5.26,7.5%,"387,298",5.9%,"Jeweled Gauntlet, Spear of Shojin, Archangel's Staff, Blue Buff, Guinsoo's Rageblade"
Nidalee,D,5.33,9.4%,"168,802",2.6%,"Jeweled Gauntlet, Hand Of Justice, Bloodthirster, Titan's Resolve, Giant Slayer"
Leona,D,5.41,5.7%,"267,136",4.1%,"Gargoyle Stoneplate, Warmog's Armor, Sunfire Cape, Spirit Visage, Dragon's Claw"
Milio,D,5.84,7.4%,"302,333",4.6%,"Jeweled Gauntlet, Spear of Shojin, Void Staff, Blue Buff, Archangel's Staff"
Qiyana,D,6.31,4.0%,"215,994",3.3%,"Bloodthirster, Hand Of Justice, Sterak's Gage, Titan's Resolve, Infinity Edge"
